Month,EmployeeKey,ActualSales,EmployeeID,Salesperson,Target,Achievement_%,Variance
2017-07-01,281,63762.89,841560125,Michael Blythe,100000.0,63.76288999999999,-36237.11
2017-07-01,282,5475.95,191644724,Linda Mitchell,100000.0,5.475949999999999,-94524.05
2017-07-01,283,46695.58,615389812,Jillian Carson,,,
2017-07-01,284,9109.199999999999,234474252,Garrett Vargas,100000.0,9.1092,-90890.8
2017-07-01,285,104419.22,716374314,Tsvi Reiter,100000.0,104.41922,4419.220000000001
2017-07-01,286,24432.56,61161660,Pamela Ansman-Wolfe,200000.0,12.21628,-175567.44
2017-07-01,287,59708.39,139397894,Shu Ito,100000.0,59.70839,-40291.61
2017-07-01,288,106251.69,399771412,José Saraiva,100000.0,106.25169000000001,6251.690000000002
2017-07-01,289,69472.92,987554265,David Campbell,100000.0,69.47291999999999,-30527.08
2017-08-01,272,20544.67,502097814,Stephen Jiang,1500000.0,1.3696446666666666,-1479455.33
2017-08-01,281,108543.01000000001,841560125,Michael Blythe,500000.0,21.708602000000003,-391456.99
2017-08-01,282,270964.65,191644724,Linda Mitchell,450000.0,60.21436666666668,-179035.34999999998
2017-08-01,283,267762.44,615389812,Jillian Carson,100000.0,267.76244,167762.44
2017-08-01,284,156636.32,234474252,Garrett Vargas,200000.0,78.31816,-43363.67999999999
2017-08-01,285,302889.3,716374314,Tsvi Reiter,200000.0,151.44465,102889.29999999999
2017-08-01,286,153058.64,61161660,Pamela Ansman-Wolfe,400000.0,38.264660000000006,-246941.36
2017-08-01,287,34096.25,139397894,Shu Ito,200000.0,17.048125,-165903.75
2017-08-01,288,160457.42,399771412,José Saraiva,200000.0,80.22871,-39542.57999999999
2017-08-01,289,65119.32,987554265,David Campbell,200000.0,32.55966,-134880.68
2017-09-01,272,2039.99,502097814,Stephen Jiang,1000000.0,0.203999,-997960.01
2017-09-01,281,132449.59,841560125,Michael Blythe,400000.0,33.1123975,-267550.41000000003
2017-09-01,282,182616.16,191644724,Linda Mitchell,500000.0,36.523232,-317383.83999999997
2017-09-01,283,141197.28,615389812,Jillian Carson,100000.0,141.19728,41197.28
2017-09-01,284,41701.49,234474252,Garrett Vargas,300000.0,13.900496666666665,-258298.51
2017-09-01,285,138208.88,716374314,Tsvi Reiter,300000.0,46.06962666666667,-161791.12
2017-09-01,286,13837.1,61161660,Pamela Ansman-Wolfe,600000.0,2.3061833333333333,-586162.9
2017-09-01,287,283627.04000000004,139397894,Shu Ito,300000.0,94.54234666666667,-16372.959999999963
2017-09-01,288,161899.25,399771412,José Saraiva,300000.0,53.96641666666666,-138100.75
2017-09-01,289,68755.67,987554265,David Campbell,300000.0,22.918556666666667,-231244.33000000002
2017-10-01,281,107815.83,841560125,Michael Blythe,400000.0,26.9539575,-292184.17
2017-10-01,282,5957.97,191644724,Linda Mitchell,200000.0,2.9789849999999998,-194042.03
2017-10-01,283,93361.01,615389812,Jillian Carson,100000.0,93.36101,-6638.990000000005
2017-10-01,284,35469.33,234474252,Garrett Vargas,300000.0,11.82311,-264530.67
2017-10-01,285,139223.75,716374314,Tsvi Reiter,100000.0,139.22375,39223.75
2017-10-01,286,57740.93,61161660,Pamela Ansman-Wolfe,400000.0,14.4352325,-342259.07
2017-10-01,287,98870.19,139397894,Shu Ito,300000.0,32.95673,-201129.81
2017-10-01,288,199539.92,399771412,José Saraiva,300000.0,66.51330666666667,-100460.07999999999
2017-10-01,289,106853.78,987554265,David Campbell,400000.0,26.713445000000004,-293146.22
2017-11-01,272,6341.5599999999995,502097814,Stephen Jiang,2200000.0,0.2882527272727272,-2193658.44
2017-11-01,281,173840.68,841560125,Michael Blythe,1000000.0,17.384068,-826159.3200000001
2017-11-01,282,389310.7,191644724,Linda Mitchell,750000.0,51.90809333333334,-360689.3
2017-11-01,283,396569.91000000003,615389812,Jillian Carson,200000.0,198.284955,196569.91000000003
2017-11-01,284,197482.15,234474252,Garrett Vargas,300000.0,65.82738333333333,-102517.85
2017-11-01,285,445850.99,716374314,Tsvi Reiter,300000.0,148.61699666666667,145850.99
2017-11-01,286,288668.81,61161660,Pamela Ansman-Wolfe,800000.0,36.083601249999994,-511331.19
2017-11-01,287,131414.17,139397894,Shu Ito,300000.0,43.80472333333334,-168585.83
2017-11-01,288,185035.03,399771412,José Saraiva,300000.0,61.67834333333333,-114964.97
2017-11-01,289,111240.91,987554265,David Campbell,400000.0,27.8102275,-288759.08999999997
2017-12-01,281,165336.79,841560125,Michael Blythe,1000000.0,16.533679,-834663.21
2017-12-01,282,289492.89,191644724,Linda Mitchell,750000.0,38.599052,-460507.11
2017-12-01,283,302420.21,615389812,Jillian Carson,200000.0,151.210105,102420.21000000002
2017-12-01,284,32773.74,234474252,Garrett Vargas,300000.0,10.924579999999999,-267226.26
2017-12-01,285,252005.99,716374314,Tsvi Reiter,500000.0,50.401198,-247994.01
2017-12-01,286,69681.68,61161660,Pamela Ansman-Wolfe,800000.0,8.710209999999998,-730318.3200000001
2017-12-01,287,280694.17,139397894,Shu Ito,500000.0,56.138833999999996,-219305.83000000002
2017-12-01,288,225890.36000000002,399771412,José Saraiva,300000.0,75.29678666666668,-74109.63999999998
2017-12-01,289,85139.26,987554265,David Campbell,500000.0,17.027852,-414860.74
2018-01-01,281,124082.56,841560125,Michael Blythe,300000.0,41.36085333333333,-175917.44
2018-01-01,282,5895.67,191644724,Linda Mitchell,100000.0,5.89567,-94104.33
2018-01-01,283,64192.81,615389812,Jillian Carson,50000.0,128.38562,14192.809999999998
2018-01-01,284,27721.91,234474252,Garrett Vargas,150000.0,18.481273333333334,-122278.09
2018-01-01,285,140581.53,716374314,Tsvi Reiter,150000.0,93.72102,-9418.470000000001
2018-01-01,286,41067.76,61161660,Pamela Ansman-Wolfe,200000.0,20.53388,-158932.24
2018-01-01,287,80098.53,139397894,Shu Ito,100000.0,80.09853,-19901.47
2018-01-01,288,136171.37,399771412,José Saraiva,150000.0,90.78091333333333,-13828.630000000005
2018-01-01,289,93417.4,987554265,David Campbell,100000.0,93.4174,-6582.600000000006
2018-02-01,272,61206.46,502097814,Stephen Jiang,1750000.0,3.497512,-1688793.54
2018-02-01,281,155830.99,841560125,Michael Blythe,400000.0,38.957747499999996,-244169.01
2018-02-01,282,380521.91000000003,191644724,Linda Mitchell,500000.0,76.104382,-119478.08999999997
2018-02-01,283,319638.7,615389812,Jillian Carson,150000.0,213.09246666666667,169638.7
2018-02-01,284,113239.59,234474252,Garrett Vargas,175000.0,64.70833714285715,-61760.41
2018-02-01,285,311908.01,716374314,Tsvi Reiter,150000.0,207.93867333333336,161908.01
2018-02-01,286,190103.06,61161660,Pamela Ansman-Wolfe,500000.0,38.020612,-309896.94
2018-02-01,287,78892.29000000001,139397894,Shu Ito,200000.0,39.446145,-121107.70999999999
2018-02-01,288,163392.55,399771412,José Saraiva,175000.0,93.36717142857142,-11607.450000000012
2018-02-01,289,126060.9,987554265,David Campbell,300000.0,42.0203,-173939.1
2018-03-01,272,18307.71,502097814,Stephen Jiang,1500000.0,1.2205139999999999,-1481692.29
2018-03-01,281,128000.9,841560125,Michael Blythe,500000.0,25.60018,-371999.1
2018-03-01,282,205046.33000000002,191644724,Linda Mitchell,500000.0,41.009266000000004,-294953.67
2018-03-01,283,267190.03,615389812,Jillian Carson,150000.0,178.1266866666667,117190.03000000003
2018-03-01,284,85482.03,234474252,Garrett Vargas,200000.0,42.741015,-114517.97
2018-03-01,285,167507.92,716374314,Tsvi Reiter,150000.0,111.67194666666667,17507.920000000013
2018-03-01,286,50762.71,61161660,Pamela Ansman-Wolfe,1000000.0,5.076271,-949237.29
2018-03-01,287,237589.99000000002,139397894,Shu Ito,300000.0,79.19666333333333,-62410.00999999998
2018-03-01,288,231555.86,399771412,José Saraiva,200000.0,115.77792999999998,31555.859999999986
2018-03-01,289,63836.79,987554265,David Campbell,200000.0,31.918395,-136163.21
2018-04-01,272,33406.63,502097814,Stephen Jiang,750000.0,4.454217333333333,-716593.37
2018-04-01,281,143767.74,841560125,Michael Blythe,500000.0,28.753547999999995,-356232.26
2018-04-01,282,3762.2400000000002,191644724,Linda Mitchell,200000.0,1.8811200000000001,-196237.76
2018-04-01,283,110803.11,615389812,Jillian Carson,50000.0,221.60622,60803.11
2018-04-01,284,39176.04,234474252,Garrett Vargas,225000.0,17.411573333333333,-185823.96
2018-04-01,285,153853.11000000002,716374314,Tsvi Reiter,150000.0,102.56874,3853.110000000015
2018-04-01,286,26018.24,61161660,Pamela Ansman-Wolfe,200000.0,13.009120000000001,-173981.76
2018-04-01,287,91488.27,139397894,Shu Ito,200000.0,45.744135,-108511.73
2018-04-01,288,188997.04,399771412,José Saraiva,225000.0,83.99868444444445,-36002.95999999999
2018-04-01,289,91738.56,987554265,David Campbell,100000.0,91.73856,-8261.440000000002
2018-05-01,281,172429.52,841560125,Michael Blythe,600000.0,28.73825333333333,-427570.48
2018-05-01,282,401776.44,191644724,Linda Mitchell,750000.0,53.570192000000006,-348223.56
2018-05-01,283,464190.61000000004,615389812,Jillian Carson,200000.0,232.09530500000005,264190.61000000004
2018-05-01,284,172638.25,234474252,Garrett Vargas,200000.0,86.319125,-27361.75
2018-05-01,285,375132.88,716374314,Tsvi Reiter,200000.0,187.56644,175132.88
2018-05-01,286,252120.55000000002,61161660,Pamela Ansman-Wolfe,750000.0,33.61607333333333,-497879.44999999995
2018-05-01,287,103508.45,139397894,Shu Ito,400000.0,25.8771125,-296491.55
2018-05-01,288,212021.48,399771412,José Saraiva,200000.0,106.01074000000001,12021.48000000001
2018-05-01,289,115901.69,987554265,David Campbell,450000.0,25.755931111111114,-334098.31
2018-06-01,272,60980.78,502097814,Stephen Jiang,1500000.0,4.065385333333333,-1439019.22
2018-06-01,281,134935.4,841560125,Michael Blythe,500000.0,26.987079999999995,-365064.6
2018-06-01,282,146343.85,191644724,Linda Mitchell,400000.0,36.5859625,-253656.15
2018-06-01,283,270633.58999999997,615389812,Jillian Carson,200000.0,135.31679499999998,70633.58999999997
2018-06-01,284,24978.83,234474252,Garrett Vargas,225000.0,11.101702222222224,-200021.16999999998
2018-06-01,285,134904.58,716374314,Tsvi Reiter,200000.0,67.45228999999999,-65095.42000000001
2018-06-01,286,58977.11,61161660,Pamela Ansman-Wolfe,1250000.0,4.7181688,-1191022.89
2018-06-01,287,154052.45,139397894,Shu Ito,500000.0,30.81049,-345947.55
2018-06-01,288,124745.65,399771412,José Saraiva,225000.0,55.4425111111111,-100254.35
2018-06-01,289,26699.66,987554265,David Campbell,175000.0,15.256948571428572,-148300.34
2018-07-01,272,3575.71,502097814,Stephen Jiang,1750000.0,0.20432628571428574,-1746424.29
2018-07-01,281,421440.99,841560125,Michael Blythe,750000.0,56.192131999999994,-328559.01
2018-07-01,282,112241.15,191644724,Linda Mitchell,800000.0,14.030143749999999,-687758.85
2018-07-01,283,402575.43,615389812,Jillian Carson,250000.0,161.030172,152575.43
2018-07-01,284,6650.3099999999995,234474252,Garrett Vargas,500000.0,1.3300619999999999,-493349.69
2018-07-01,285,177941.5,716374314,Tsvi Reiter,150000.0,118.62766666666667,27941.5
2018-07-01,286,99316.07,61161660,Pamela Ansman-Wolfe,700000.0,14.18801,-600683.9299999999
2018-07-01,287,170371.19,139397894,Shu Ito,500000.0,34.074238,-329628.81
2018-07-01,288,82046.63,399771412,José Saraiva,500000.0,16.409326,-417953.37
2018-07-01,289,201474.96,987554265,David Campbell,300000.0,67.15831999999999,-98525.04000000001
2018-07-01,291,635731.8,668991357,Jae Pak,200000.0,317.8659,435731.80000000005
2018-07-01,292,98193.11,134219713,Ranjit Varkey Chudukatil,75000.0,130.92414666666667,23193.11
2018-08-01,272,55678.33,502097814,Stephen Jiang,2950000.0,1.8874010169491524,-2894321.67
2018-08-01,281,443964.32,841560125,Michael Blythe,850000.0,52.231096470588234,-406035.68
2018-08-01,282,650254.38,191644724,Linda Mitchell,1200000.0,54.187865,-549745.62
2018-08-01,283,406918.96,615389812,Jillian Carson,300000.0,135.63965333333334,106918.96000000002
2018-08-01,284,329324.46,234474252,Garrett Vargas,500000.0,65.86489200000001,-170675.53999999998
2018-08-01,285,320528.07,716374314,Tsvi Reiter,200000.0,160.264035,120528.07
2018-08-01,286,232870.13999999998,61161660,Pamela Ansman-Wolfe,1250000.0,18.6296112,-1017129.86
2018-08-01,287,251234.14,139397894,Shu Ito,500000.0,50.246828,-248765.86
2018-08-01,288,109302.24,399771412,José Saraiva,500000.0,21.860448,-390697.76
2018-08-01,289,144741.03,987554265,David Campbell,500000.0,28.948206,-355258.97
2018-08-01,290,73780.65,982310417,Amy Alberts,300000.0,24.593549999999997,-226219.35
2018-08-01,291,332029.39,668991357,Jae Pak,300000.0,110.67646333333334,32029.390000000014
2018-08-01,292,265288.35,134219713,Ranjit Varkey Chudukatil,150000.0,176.85889999999998,115288.34999999998
2018-09-01,272,523.78,502097814,Stephen Jiang,2650000.0,0.019765283018867923,-2649476.22
2018-09-01,281,387548.48,841560125,Michael Blythe,750000.0,51.673130666666665,-362451.52
2018-09-01,282,411475.14,191644724,Linda Mitchell,1200000.0,34.289595,-788524.86
2018-09-01,283,457822.64,615389812,Jillian Carson,250000.0,183.129056,207822.64
2018-09-01,284,89599.44,234474252,Garrett Vargas,500000.0,17.919888,-410400.56
2018-09-01,285,174198.82,716374314,Tsvi Reiter,200000.0,87.09941,-25801.179999999993
2018-09-01,286,97559.83,61161660,Pamela Ansman-Wolfe,1750000.0,5.574847428571428,-1652440.17
2018-09-01,287,416804.05,139397894,Shu Ito,500000.0,83.36081,-83195.95000000001
2018-09-01,288,209046.02,399771412,José Saraiva,500000.0,41.809204,-290953.98
2018-09-01,289,11293.720000000001,987554265,David Campbell,200000.0,5.646860000000001,-188706.28
2018-09-01,291,474699.78,668991357,Jae Pak,400000.0,118.674945,74699.78000000003
2018-09-01,292,164074.91,134219713,Ranjit Varkey Chudukatil,250000.0,65.629964,-85925.09
2018-10-01,272,56210.83,502097814,Stephen Jiang,1500000.0,3.747388666666667,-1443789.17
2018-10-01,281,319343.44,841560125,Michael Blythe,800000.0,39.91793,-480656.56
2018-10-01,282,99103.08,191644724,Linda Mitchell,800000.0,12.387885,-700896.92
2018-10-01,283,333684.41,615389812,Jillian Carson,200000.0,166.84220499999998,133684.40999999997
2018-10-01,284,3025.7200000000003,234474252,Garrett Vargas,500000.0,0.6051440000000001,-496974.28
2018-10-01,285,144638.36,716374314,Tsvi Reiter,200000.0,72.31917999999999,-55361.640000000014
