employeekey,employeeid,salesperson,title,totalorders,totalquantity,totalrevenue,avgordervalue
272,502097814,Stephen Jiang,North American Sales Manager,46,2953,1073650.72,1437.28
281,841560125,Michael Blythe,Sales Representative,431,21988,8952751.48,1329.48
282,191644724,Linda Mitchell,Sales Representative,400,26314,10158634.52,1484.53
283,615389812,Jillian Carson,Sales Representative,459,25915,9755992.01,1295.79
284,234474252,Garrett Vargas,Sales Representative,223,11060,3486102.49,1110.93
285,716374314,Tsvi Reiter,Sales Representative,416,15899,6976128.29,1328.79
286,61161660,Pamela Ansman-Wolfe,Sales Representative,92,6987,3187720.14,1638.93
287,139397894,Shu Ito,Sales Representative,231,14943,6283193.33,1442.09
288,399771412,José Saraiva,Sales Representative,257,14048,5536439.26,1331.19
289,987554265,David Campbell,Sales Representative,184,7866,3614760.61,1684.42
290,982310417,Amy Alberts,European Sales Manager,39,2009,737568.42,1262.96
291,668991357,Jae Pak,Sales Representative,325,24697,8099816.95,1270.76
292,134219713,Ranjit Varkey Chudukatil,Sales Representative,166,13640,4429368.45,1337.77
293,90836195,Tete Mensa-Annan,Sales Representative,130,5273,2184211.15,1248.12
294,481044938,Syed Abbas,Pacific Sales Manager,14,820,174108.33,725.45
295,954276278,Rachel Valdez,Sales Representative,109,6467,1681207.53,1077.01
296,758596752,Lynn Tsoflias,Sales Representative,94,3235,1216916.52,1028.67
