EmployeeKey,Salesperson,Title,Total_Sales,Total_Profit,Total_Quantity,Total_Orders
272,Stephen Jiang,North American Sales Manager,1073650.72,-43341.32,2953,46
281,Michael Blythe,Sales Representative,8952751.48,141540.58,21988,431
282,Linda Mitchell,Sales Representative,10158634.52,254772.37,26314,400
283,Jillian Carson,Sales Representative,9755992.01,203855.94,25915,459
284,Garrett Vargas,Sales Representative,3486102.49,1584.08,11060,223
285,Tsvi Reiter,Sales Representative,6976128.29,155178.97,15899,416
286,Pamela Ansman-Wolfe,Sales Representative,3187720.14,134782.07,6987,92
287,Shu Ito,Sales Representative,6283193.33,-87731.74,14943,231
288,José Saraiva,Sales Representative,5536439.26,67741.8,14048,257
289,David Campbell,Sales Representative,3614760.61,94336.14,7866,184
290,Amy Alberts,European Sales Manager,737568.42,274.95,2009,39
291,Jae Pak,Sales Representative,8099816.95,264949.12,24697,325
292,Ranjit Varkey Chudukatil,Sales Representative,4429368.45,4004.21,13640,166
293,Tete Mensa-Annan,Sales Representative,2184211.15,-43373.77,5273,130
294,Syed Abbas,Pacific Sales Manager,174108.33,-14834.33,820,14
295,Rachel Valdez,Sales Representative,1681207.53,-68802.06,6467,109
296,Lynn Tsoflias,Sales Representative,1216916.52,-65442.44,3235,94
